xml_name,image_name,image_path,image_stem,image_hash,width,height,box_count,primary_label,labels,is_duplicate,canonical_image_path
167.xml,167.jpg,dataset\images\167.jpg,167,63af5a155def3b8de61c7ae9a71f6c121a0fa2b82180f036d1538835211e110d,400,267,5,damage,damage|damage|damage|damage|damage,0,dataset\images\167.jpg
115.xml,115.jpg,dataset\images\115.jpg,115,5aea361f1e0ad34428ac0b2dddb7c0d178b58e3b0ee21beb391a8170186963f9,400,303,3,damage,pothole_water|damage|damage,0,dataset\images\115.jpg
216.xml,216.jpg,dataset\images\216.jpg,216,1dff81bbb6e3d3d6e8a3d6e79dfdda2d0e97b70b2af3c86dbfa86a7d66abbe29,268,178,1,damage,damage,0,dataset\images\216.jpg
175.xml,175.jpg,dataset\images\175.jpg,175,f02e54b7a15d9e476b175dc8f006e50f60e3ac935ad8037f9b58c7345da44895,800,600,1,damage,damage,0,dataset\images\175.jpg
100.xml,100.jpg,dataset\images\100.jpg,100,b6f3586d1afe749d037075dfce279e2c56cf27dd5de7018f63fb433cb7137084,1299,863,2,damage,pothole_water|damage,0,dataset\images\100.jpg
427.xml,427.jpg,dataset\images\427.jpg,427,c25bdeb0893bdede693f46193e04e3086955e3ca6ee6eafaaac51afe68c6c5e6,1066,1537,5,damage,damage|damage|damage|crack|crack,0,dataset\images\427.jpg
71.xml,71.jpg,dataset\images\71.jpg,71,e0a37b675e8b2735a4b93512befda7ab47a6db9b185e6aba4eddf15dfd1c9d05,3264,1836,2,damage,damage|damage,0,dataset\images\71.jpg
366.xml,366.jpg,dataset\images\366.jpg,366,796e9ef3c4888cd0cff0a1aadb4caf7e445f8becf6655db111d1cfb7c4575de9,1024,687,1,damage,damage,0,dataset\images\366.jpg
239.xml,239.jpg,dataset\images\239.jpg,239,d9905aea1ab2fc21c9f328182745f30c1a131f4cab662fa74dbbc2d87aa8ff7e,720,410,2,damage,damage|pothole,0,dataset\images\239.jpg
489.xml,489.jpg,dataset\images\489.jpg,489,e6383224acd9ea46ed1d61ce9d42e0942d36589baf0ee96e6234e33e4acfed17,448,299,4,damage,pothole|damage|crack|damage,0,dataset\images\489.jpg
230.xml,230.jpg,dataset\images\230.jpg,230,c970831894cfb90be16cf5a6b925020091fd12f1afb5545dd87a286b89d586b0,400,267,2,damage,damage|damage,0,dataset\images\230.jpg
504.xml,504.jpg,dataset\images\raw\504.jpg,504,143b125b044fc4fa7b74b75ef7ee13bece7e4a3d9c72cfdf65f4d8253033e6b0,512,512,1,damage,damage,0,dataset\images\raw\504.jpg
364.xml,364.jpg,dataset\images\364.jpg,364,2db65e9e0fead0399f6668303321852d522b385183c276f2a5cf6e1ee05d9841,800,598,1,damage,damage,0,dataset\images\364.jpg
252.xml,252.jpg,dataset\images\252.jpg,252,7dd0cc76715986bcb00d505b65b06d8c41eec16bf449215057a8ad191c397b11,1297,855,1,damage,damage,0,dataset\images\252.jpg
494.xml,494.jpg,dataset\images\494.jpg,494,5645e48cfa7560dd832203774b49d2638a8c2276674a7be69c67784a8ef4e9b0,619,395,1,damage,damage,0,dataset\images\494.jpg
340.xml,340.jpg,dataset\images\340.jpg,340,e000b8e3c14281bbad388cb185b7881b07bc4df9f2a6e1ef849b579639e1dda1,1024,682,4,damage,pothole|crack|damage|damage,0,dataset\images\340.jpg
213.xml,213.jpg,dataset\images\213.jpg,213,9715b78257c0155882629befcea0ce06cebab110055f857ff4825f9512cbf8c1,1280,720,3,damage,damage|damage|damage,0,dataset\images\213.jpg
307.xml,307.jpg,dataset\images\307.jpg,307,bf3ea394b3db9be769b664b378214b019bcee131639c90b0de28f79956491927,3264,1836,4,damage,damage|damage|damage|damage,0,dataset\images\307.jpg
105.xml,105.jpg,dataset\images\105.jpg,105,ff9613b1dde8892f3f0a5f0fa7c1b6f4542b897de53478a1121514ba3c4de5cd,225,300,5,damage,pothole|damage|pothole|damage|crack,0,dataset\images\105.jpg
499.xml,499.jpg,dataset\images\499.jpg,499,1e5e5c4313141feffe045bfc9bd5c6b85bf5e73d620cc8a03161aae52f896c69,768,432,2,damage,pothole_water|damage,0,dataset\images\499.jpg
291.xml,291.jpg,dataset\images\291.jpg,291,e0a3f97b5ec27bc61ad4ced803c9ffc77ee5fde90abd7d11bd24c59ddc51a081,2048,1365,2,damage,damage|damage,0,dataset\images\291.jpg
369.xml,369.jpg,dataset\images\369.jpg,369,09116155ba02371fb973ba59069fee0d574e27c2feef21aaf59a7b7ddcd671e0,1280,720,3,damage,damage|damage|damage,0,dataset\images\369.jpg
231.xml,231.jpg,dataset\images\231.jpg,231,9c725e771b1d11a09bbfbd7156debb82a4a9814c73a68c62741a7a79c35a86d8,857,1289,1,damage,damage,0,dataset\images\231.jpg
449.xml,449.jpg,dataset\images\449.jpg,449,5e3e2a36880806addecfcf0b162f63372ddf68b4eaaa40d8017dc8b9d3672104,750,422,3,damage,pothole_water|damage|pothole,0,dataset\images\449.jpg
118.xml,118.jpg,dataset\images\118.jpg,118,184e4a349c4cf65eb86f9d0ca939fe2261526cf10ac87f46b1459f9d12aad935,400,300,1,damage,damage,0,dataset\images\118.jpg
133.xml,133.jpg,dataset\images\133.jpg,133,af59bf19a97844f2e3a92ae6a57ac4e5ba7f0b0941c20b8b914b8c7b8dced19c,1600,1103,1,damage,damage,0,dataset\images\133.jpg
242.xml,242.jpg,dataset\images\242.jpg,242,c154f2f821d7f168f9b4762286199f27d8b8efa744f1993aa8bef80319020a12,450,600,1,damage,damage,0,dataset\images\242.jpg
206.xml,206.jpg,dataset\images\206.jpg,206,5d58e3bf5378cdfdc6c1a639f9218145a98d14ef77f73db8701084eaa725bedf,625,352,2,damage,pothole_water|damage,0,dataset\images\206.jpg
353.xml,353.jpg,dataset\images\353.jpg,353,201155212814125d342a07bdf8db540bc153cdd01e0a5867330a5aed59113972,370,204,1,damage,damage,0,dataset\images\353.jpg
67.xml,67.jpg,dataset\images\67.jpg,67,0ad3dd089a6e469ed94465be47d133980e18534540fbbe098723241325cc0ddd,350,237,2,damage,pothole|damage,0,dataset\images\67.jpg
498.xml,498.jpg,dataset\images\498.jpg,498,3b30e9ee29f4d688fb29a891bc97132e4be6ba3ece653f7df5e27245965688eb,1000,619,1,damage,damage,0,dataset\images\498.jpg
164.xml,164.jpg,dataset\images\164.jpg,164,c07006a8a7e9fbd6844bf86fa29b6fbbdf236c5c1455440db1f0904bfe0935cb,1632,1224,1,damage,damage,0,dataset\images\164.jpg
423.xml,423.jpg,dataset\images\423.jpg,423,3c8cef454101707331531d460a3b241b8399cb9e0407618cd1ba6e3f15be10a6,756,378,2,damage,damage|pothole_water,0,dataset\images\423.jpg
506.xml,506.jpg,dataset\images\raw\506.jpg,506,6eeaeaa97e9a730240fc5d8d14d412aff73557bcc0547b669505f3362b522829,512,512,1,damage,damage,0,dataset\images\raw\506.jpg
373.xml,373.jpg,dataset\images\373.jpg,373,4bc2052d77ec95e7b683c4d11501510d2ea9a084d13a09457765063eeb8bdedb,450,296,1,damage,damage,0,dataset\images\373.jpg
403.xml,403.jpg,dataset\images\403.jpg,403,dfd498380c400a1ddb90a3cc149b236e95344010bee07cefbf050ec32c2c4ea1,727,485,2,damage,damage|pothole,0,dataset\images\403.jpg
251.xml,251.jpg,dataset\images\251.jpg,251,35fde951e0610fb2dd915efd1c3237120497a06b8ac5f851d52e694a838a1a0a,1297,861,3,damage,damage|damage|damage,0,dataset\images\251.jpg
428.xml,428.jpg,dataset\images\428.jpg,428,648bac3c5df17a95931625f3df9dbf8482ff06ff6aaf88ae6c7efaab40a07b50,3264,1836,3,damage,damage|damage|damage,0,dataset\images\428.jpg
324.xml,324.jpg,dataset\images\324.jpg,324,ed676e7a8a12429bd585d440997c9d8607527c31eca3ea9e4c0c8dd16d07adcb,1299,861,1,damage,damage,0,dataset\images\324.jpg
236.xml,236.jpg,dataset\images\236.jpg,236,ed12f31dd13846075b8bf0c561bb6262c7701c638191206a0812e47872488b10,856,1285,3,damage,damage|damage|damage,0,dataset\images\236.jpg
135.xml,135.jpg,dataset\images\135.jpg,135,0fdeca7b60b75766ec96bc134e93a78c41a98bd976a831c8cea0dd0cd6d0850c,800,600,2,damage,pothole_water|damage,0,dataset\images\135.jpg
112.xml,112.jpg,dataset\images\112.jpg,112,11af67ef640c4733a76bd82e4c2722d7d5f65e70e2f889b2591fb4c9a441d455,356,169,1,damage,damage,0,dataset\images\112.jpg
165.xml,165.jpg,dataset\images\165.jpg,165,dbba8f6daa64bd1ce427992d1499b6628759ee84e219a07c9fab9e159daef3d5,885,590,4,damage,damage|damage|damage|damage,0,dataset\images\165.jpg
180.xml,180.jpg,dataset\images\180.jpg,180,33b4bd2907e1a03994c0fabe3e7a0ac6a44998ab36726001cf0663454c8d0abc,970,430,2,damage,pothole_water|damage,0,dataset\images\180.jpg
333.xml,333.jpg,dataset\images\333.jpg,333,8e082713201bb1feca9f224755aaa6c54c9b3c8313e7dbd0d370a7836f893e6e,800,600,2,damage,pothole|damage,0,dataset\images\333.jpg
110.xml,110.jpg,dataset\images\110.jpg,110,cb523c72c40e4cd3ca46da0048d99d801ae8039af479cc1328a882b75401964d,1297,599,2,damage,damage|damage,0,dataset\images\110.jpg
450.xml,450.jpg,dataset\images\450.jpg,450,cfeace3481dfcbd032044d6e3ee40d74f4628ba49d410294806ed4403d09dc4e,1024,682,4,damage,pothole|damage|damage|damage,0,dataset\images\450.jpg
111.xml,111.jpg,dataset\images\111.jpg,111,693c1dc047bb053d8aea6c3fb51bd792b4f36c3b19d11332c8921825656a198b,1293,917,3,damage,damage|crack|damage,0,dataset\images\111.jpg
312.xml,312.jpg,dataset\images\312.jpg,312,a97213c65e1d5e21907a0d77a9f70a23fe1a26d860c60a12cfb45d4dcc34ba79,534,401,4,damage,damage|damage|damage|damage,0,dataset\images\312.jpg
281.xml,281.jpg,dataset\images\281.jpg,281,686d32014a08526c75c66b4f5e804b5176393e7c3fa456476202e0dddb4d9bcb,1299,855,2,damage,damage|damage,0,dataset\images\281.jpg
308.xml,308.jpg,dataset\images\308.jpg,308,f2433904defcb281b522d3169922ec98e18081170453df59ce7ec771d1a294da,1368,768,2,damage,damage|damage,0,dataset\images\308.jpg
401.xml,401.jpg,dataset\images\401.jpg,401,89a2a134145f43290b15e6b3076c615282d2d9be712fb046426b6df83bdf6314,625,352,1,damage,damage,0,dataset\images\401.jpg
257.xml,257.jpg,dataset\images\257.jpg,257,eb773cd1ce6b07e0940f50fcc854e851a49ebb988bc3a4f3772249e3f19af1ed,400,266,4,damage,pothole|damage|pothole|damage,0,dataset\images\257.jpg
142.xml,142.jpg,dataset\images\142.jpg,142,9fae15dd140e52ee647c48a7da81c46756c56555a96eb68a3edebc5531303283,700,525,1,damage,damage,0,dataset\images\142.jpg
453.xml,453.jpg,dataset\images\453.jpg,453,bbf39bb2a66d1471fd66fd28b337ac2abf4dc5c4f21d6d7f5d488af2221c8cb8,1489,973,1,damage,damage,0,dataset\images\453.jpg
260.xml,260.jpg,dataset\images\260.jpg,260,072228204cf3ea0854892b65bc129eff11f590f31fd31f39f089d7cf823436c7,2525,1590,4,damage,crack|damage|damage|damage,0,dataset\images\260.jpg
245.xml,245.jpg,dataset\images\245.jpg,245,67d9f2e27f446f2f662387fe1a1b1e586a9a5c908e5904c3541ae9b6874ebaa6,204,170,2,damage,damage|damage,0,dataset\images\245.jpg
388.xml,388.jpg,dataset\images\388.jpg,388,0afdb6e5fbd6ec552633d5e360a1c33da146aee7a0d7cc94dedd1c6a945cb92e,525,350,1,damage,damage,0,dataset\images\388.jpg
509.xml,509.jpg,dataset\images\raw\509.jpg,509,3410caee13d4be1529dd3324b5429f3894de7ce05dc9cf6afae1f15e73b6d1a7,512,512,1,damage,damage,0,dataset\images\raw\509.jpg
463.xml,463.jpg,dataset\images\463.jpg,463,89151ef96cb52a1a6b88a784ce19605a641a77add20b2164a2a9f84b2bc804ba,1287,849,3,damage,damage|damage|damage,0,dataset\images\463.jpg
344.xml,344.jpg,dataset\images\344.jpg,344,16681746cadc694e4f10bd6af8e77195947ca61aa72ae7b4c826b6fe39c232a6,1780,1002,1,damage,damage,0,dataset\images\344.jpg
443.xml,443.jpg,dataset\images\443.jpg,443,df817209ebd18fb111b07d5e992125ae3096a2630b20f70f014e24ae0dff23ac,720,480,2,damage,damage|damage,0,dataset\images\443.jpg
225.xml,225.jpg,dataset\images\225.jpg,225,c0d553d1d20ce6e4f1b919eac0c1b0a247f76a23c0f9f96790f89c439f115f0a,640,426,2,damage,damage|damage,0,dataset\images\225.jpg
169.xml,169.jpg,dataset\images\169.jpg,169,ce4aad721346a12f191a687a65bceab487b2fa0fa901d887c7bad3c25e92945d,1140,754,4,damage,damage|damage|damage|damage,0,dataset\images\169.jpg
127.xml,127.jpg,dataset\images\127.jpg,127,99c0a99652b9807ab6327f74ba8e17c6a5accc839135adc1b38da01e226b5b65,780,520,2,damage,damage|pothole_water,0,dataset\images\127.jpg
470.xml,470.jpg,dataset\images\470.jpg,470,71f6e463d6ccef905bcc832acf67f7265a4a320e04f4d7f1bb644962ce9ba3b9,337,448,3,pothole,pothole|pothole|pothole,0,dataset\images\470.jpg
2.xml,2.jpg,dataset\images\2.jpg,2,23d1209d5543815d2269b6f0c73febfc79d18ebe1df0d53662e7c6f77a631315,770,470,1,pothole,pothole,0,dataset\images\2.jpg
129.xml,129.jpg,dataset\images\129.jpg,129,4ce06e6d7aee77456e1a5423d57f6bd473681016cd1b90d24880eb43cfa53c4e,873,1281,1,pothole,pothole,0,dataset\images\129.jpg
391.xml,391.jpg,dataset\images\391.jpg,391,d7f51b989513ebdda50c2c92cbc909d0ee356a506cb0a3441c3d900c96256db5,300,196,3,pothole,pothole|pothole|crack,0,dataset\images\391.jpg
3.xml,3.jpg,dataset\images\3.jpg,3,a43a89c8ba57350bcfe0001075448d68c9eb508802a949f6f1c62f6f0aa3319d,630,471,1,pothole,pothole,0,dataset\images\3.jpg
485.xml,485.jpg,dataset\images\485.jpg,485,eec210b1bd7970bf52cd1e24579d9f620018895455ca95d878cf33ef1a42fab7,1600,1067,3,pothole,pothole|pothole|crack,0,dataset\images\485.jpg
8.xml,8.jpg,dataset\images\8.jpg,8,3e88967f98a11bbc1d6585dfe08e4a1e0dd5649d204fe2f6baf472301ade451c,400,267,4,pothole,pothole|pothole|pothole|pothole,0,dataset\images\8.jpg
99.xml,99.jpg,dataset\images\99.jpg,99,588c54ae9cd74ae5f01f6e2cee0d44a0d7f75dda70af81db77e33f3afa4a6b02,640,360,2,pothole,pothole|pothole,0,dataset\images\99.jpg
482.xml,482.jpg,dataset\images\482.jpg,482,b1be0eedc758ce441fd2dd54b9f454c84fc16d785febcc7b90c38d1d67090e8e,1280,960,1,pothole,pothole,0,dataset\images\482.jpg
267.xml,267.jpg,dataset\images\267.jpg,267,efc95eab3b72756ba9c7f647f85d2e63b6aa2df527e03968e1693daea44c095a,518,355,3,pothole,pothole|pothole|pothole,0,dataset\images\267.jpg
305.xml,305.jpg,dataset\images\305.jpg,305,26c13fa15b8938e6fe973849b1a1d4efc3a26538e8191305cc8ecaa25c84f428,1200,600,1,pothole,pothole,0,dataset\images\305.jpg
436.xml,436.jpg,dataset\images\436.jpg,436,34bed150c7ddb365dd2bf27b08e52dbaeda80f8fad48b9e441160943269ad2ea,759,422,3,pothole,pothole|pothole|pothole,0,dataset\images\436.jpg
152.xml,152.jpg,dataset\images\152.jpg,152,8de3ad6c84b474d382f7d61433671e539563825735096323e0c9b13dd86c1e49,700,466,1,pothole,pothole,0,dataset\images\152.jpg
395.xml,395.jpg,dataset\images\395.jpg,395,b8f28a373d2a7e6559e872d7f4b85c1c3deadc4b67abe89bc691134d8ef480fe,1580,1036,1,pothole,pothole,0,dataset\images\395.jpg
200.xml,200.jpg,dataset\images\200.jpg,200,bf2b83e7d5eadf9c8d43f4b6ccfd0da840cd3ca0a25b2b2b699ae9def2b95775,625,352,3,pothole,pothole|damage|pothole,0,dataset\images\200.jpg
247.xml,247.jpg,dataset\images\247.jpg,247,dae65c9f2e7d47f2383b6ce39a7f08556e3e41a69e56acdf35f1a6c100f7bf97,534,401,2,pothole,pothole|pothole,0,dataset\images\247.jpg
26.xml,26.jpg,dataset\images\26.jpg,26,25a5234f19e63af8cc93f1b9f3f7a7a90a125ff411b174c8263fd93370b181c2,1300,866,2,pothole,pothole|pothole,0,dataset\images\26.jpg
244.xml,244.jpg,dataset\images\244.jpg,244,455614e0c2738cd7d3b56ead322b976e337dee22ae3eaa095e6c148fc5f89fc3,921,596,1,pothole,pothole,0,dataset\images\244.jpg
365.xml,365.jpg,dataset\images\365.jpg,365,1a5e6925fa86763b01ec08035be8c1227c1f42b4d374ab10bb52acd0595daba9,1000,750,3,pothole,pothole|pothole|crack,0,dataset\images\365.jpg
483.xml,483.jpg,dataset\images\483.jpg,483,b80634c53df7496514c7202b7aead17d31b92cd680e0b42de01898859bf85730,1200,900,2,pothole,pothole|pothole,0,dataset\images\483.jpg
155.xml,155.jpg,dataset\images\155.jpg,155,7aa24c80aa3451a80bc1b8c218a40ad46210697c834cb90997f6acc1440989c1,260,260,1,pothole,pothole,0,dataset\images\155.jpg
72.xml,72.jpg,dataset\images\72.jpg,72,a16744a334069bd95233afda65fcff459dce7cb12415239d24baa6034d4bed1f,400,300,1,pothole,pothole,0,dataset\images\72.jpg
55.xml,55.jpg,dataset\images\55.jpg,55,265efe5f07edd880cb23c665ce42ac361c04d690ccc7a6f5446b08646fcbad9f,2048,1536,2,pothole,pothole|pothole,0,dataset\images\55.jpg
466.xml,466.jpg,dataset\images\466.jpg,466,4cd34a58094af958b926b12e4b964db275010d8e5460a8561448fb41d0f64b84,280,220,1,pothole,pothole,0,dataset\images\466.jpg
77.xml,77.jpg,dataset\images\77.jpg,77,c8e94339ddff83954cab2ef12b8923c6700b51ae79619ffd5b6aa4cdd5216fc5,640,360,1,pothole,pothole,0,dataset\images\77.jpg
196.xml,196.jpg,dataset\images\196.jpg,196,e675aabfcf9aac3d9cc181ac366790a115c8f6ab133cc2a567c2a3defe0bcbe6,400,267,1,pothole,pothole,0,dataset\images\196.jpg
101.xml,101.jpg,dataset\images\101.jpg,101,a30303395472d98c70aa38bdc4c3abf5c4dffac6de5cd9b8b1bb137d9c8d4baf,600,400,1,pothole,pothole,0,dataset\images\101.jpg
74.xml,74.jpg,dataset\images\74.jpg,74,4a2900b7692f825b8ce2a9bf74a2338561c56686b8db989d6264f15117db318b,466,274,3,pothole,pothole|pothole|pothole,0,dataset\images\74.jpg
39.xml,39.jpg,dataset\images\39.jpg,39,92973b2adf19ebd088b85a305c221fba3976700e7a1e528bb4b26a9dba648568,1300,866,2,pothole,pothole|pothole_water,0,dataset\images\39.jpg
254.xml,254.jpg,dataset\images\254.jpg,254,89fda10d54b6e52195d1fc9520652edb657b42ff96c5ed96338f1a6168c3a8d1,752,564,1,pothole,pothole,0,dataset\images\254.jpg
336.xml,336.jpg,dataset\images\336.jpg,336,83e39eda7af8994e4177afd9aa81acd0a43650d94112931f217fc08d7cfd43da,845,563,1,pothole,pothole,0,dataset\images\336.jpg
233.xml,233.jpg,dataset\images\233.jpg,233,39e11e1ca781a220ff256e51c394a0c7f472d0a9a9c86af60b0718a5766f7e07,678,381,4,pothole,pothole_water|pothole|pothole_water|pothole,0,dataset\images\233.jpg
372.xml,372.jpg,dataset\images\372.jpg,372,1441ac47f0dc2882b566ad2893eaffec15c2446fb006b8f31f5222eed5a2a20a,449,290,1,pothole,pothole,0,dataset\images\372.jpg
15.xml,15.jpg,dataset\images\15.jpg,15,65cff9a4d3df7d4c54402df95963cc3b5abd565a667512842446d83174037b40,800,600,1,pothole,pothole,0,dataset\images\15.jpg
397.xml,397.jpg,dataset\images\397.jpg,397,dedd1a09cb08be2cc1462927aca961d24b364ca742a35abed04e7f80c1bb0c30,700,525,2,pothole,pothole|pothole,0,dataset\images\397.jpg
93.xml,93.jpg,dataset\images\93.jpg,93,1a3e2895623034455def4b46160c4e747543b0c1332fec01fbed65bdd89bb60b,300,195,1,pothole,pothole,0,dataset\images\93.jpg
201.xml,201.jpg,dataset\images\201.jpg,201,d77fd2bc89d865e3aa45edde0b8896010f2a6eac0a5806c10f07469b2fd6a9fe,560,416,1,pothole,pothole,0,dataset\images\201.jpg
